Location,Station,Log2 Body mass (g) ,del15N,del15Nbaseline,TLbaseline,TLscaled,TLconstant,Reference and data source,
North Sea,33,6.5,12.042,5.67,2.5,4.080968331,4.374117647,Jennings and Warr 2003,
North Sea,33,7.5,11.301,5.67,2.5,3.851255966,4.156176471,Jennings and Warr 2003,
North Sea,33,8.5,10.831,5.67,2.5,3.713716535,4.017941176,Jennings and Warr 2003,
North Sea,33,9.5,12.566,5.67,2.5,4.25405558,4.528235294,Jennings and Warr 2003,
North Sea,33,11.5,12.388,5.67,2.5,4.194195288,4.475882353,Jennings and Warr 2003,
North Sea,34,5.5,11.517,5.073,2.5,4.031122133,4.395294118,Jennings and Warr 2003,
North Sea,34,6.5,11.605,5.073,2.5,4.058099994,4.421176471,Jennings and Warr 2003,
North Sea,34,7.5,12.137,5.073,2.5,4.226259929,4.577647059,Jennings and Warr 2003,
North Sea,34,8.5,11.841,5.073,2.5,4.131601301,4.490588235,Jennings and Warr 2003,
North Sea,34,9.5,11.73,5.073,2.5,4.096818901,4.457941176,Jennings and Warr 2003,
North Sea,35,5.5,10.858,5.063,2.5,3.837946408,4.204411765,Jennings and Warr 2003,
North Sea,35,6.5,11.774,5.063,2.5,4.112445887,4.473823529,Jennings and Warr 2003,
North Sea,35,7.5,11.285,5.063,2.5,3.962962369,4.33,Jennings and Warr 2003,
North Sea,35,8.5,10.665,5.063,2.5,3.783015073,4.147647059,Jennings and Warr 2003,
North Sea,35,9.5,11.737,5.063,2.5,4.100886056,4.462941176,Jennings and Warr 2003,
North Sea,36,5.5,10.919,5.124,2.5,3.843992288,4.204411765,Jennings and Warr 2003,
North Sea,36,6.5,12.078,5.124,2.5,4.197535467,4.545294118,Jennings and Warr 2003,
North Sea,36,7.5,11.817,5.124,2.5,4.114418122,4.468529412,Jennings and Warr 2003,
North Sea,36,8.5,11.903,5.124,2.5,4.141565994,4.493823529,Jennings and Warr 2003,
North Sea,36,9.5,12.174,5.124,2.5,4.228662687,4.573529412,Jennings and Warr 2003,
North Sea,36,10.5,11.325,5.124,2.5,3.963414189,4.323823529,Jennings and Warr 2003,
North Sea,36,11.5,13.812,5.124,2.5,4.812954656,5.055294118,Jennings and Warr 2003,
North Sea,37,5.5,11.847,5.364,2.5,4.078146753,4.406764706,Jennings and Warr 2003,
North Sea,37,6.5,11.468,5.364,2.5,3.960853488,4.295294118,Jennings and Warr 2003,
North Sea,37,7.5,12.658,5.364,2.5,4.344699736,4.645294118,Jennings and Warr 2003,
North Sea,37,8.5,11.359,5.364,2.5,3.927906489,4.263235294,Jennings and Warr 2003,
North Sea,37,9.5,12.55,5.364,2.5,4.307885873,4.613529412,Jennings and Warr 2003,
North Sea,37,10.5,12.221,5.364,2.5,4.198298729,4.516764706,Jennings and Warr 2003,
North Sea,38,5.5,12.961,5.766,2.5,4.372241843,4.616176471,Jennings and Warr 2003,
North Sea,38,6.5,13.513,5.766,2.5,4.574174956,4.778529412,Jennings and Warr 2003,
North Sea,38,7.5,14.085,5.766,2.5,4.797911816,4.946764706,Jennings and Warr 2003,
North Sea,38,8.5,14.193,5.766,2.5,4.841982836,4.978529412,Jennings and Warr 2003,
North Sea,38,9.5,13.822,5.766,2.5,4.693080008,4.869411765,Jennings and Warr 2003,
North Sea,38,10.5,13.082,5.766,2.5,4.415421039,4.651764706,Jennings and Warr 2003,
North Sea,39,5.5,14.297,6.917,2.5,4.650222169,4.670588235,Jennings and Warr 2003,
North Sea,39,6.5,13.89,6.917,2.5,4.485069995,4.550882353,Jennings and Warr 2003,
